,Airport,City,Country,Lat,Long,Airlines,Stops,Hour,Price
0,BTV,Burlington,United States,44.47190094,-73.15329742,JetBlue,0,1,178
1,MHT,Manchester NH,United States,42.93259811,-71.43569946,American,1,5,412
2,ALB,Albany,United States,42.74829865,-73.80169678,American,1,6,451
3,ROC,Rochester,United States,43.1189003,-77.67240143,Delta,0,1,181
4,CLE,Cleveland,United States,41.4117012,-81.84980011,Delta,0,2,398
5,PIT,Pittsburgh,United States,40.49150085,-80.23290253,Delta,0,2,217
6,DTW,Detroit,United States,42.21239853,-83.35340118,Delta,0,2,173
7,PWM,Portland,United States,43.64619827,-70.30930328,JetBlue,0,1,180
8,BOS,Boston,United States,42.36429977,-71.00520325,JetBlue,0,1,117
9,BUF,Buffalo,United States,42.94049835,-78.73220062,Delta,0,2,150
10,CAK,Akron,United States,40.91609955,-81.44219971,Delta,1,4,371
11,PHL,Philadelphia,United States,39.87189865,-75.2410965,Delta,0,1,269
12,DCA,Washington,United States,38.8521,-77.037697,Delta,0,2,227
13,MSP,Minneapolis,United States,44.88199997,-93.22180176,Delta,0,3,338
14,MKE,Milwaukee,United States,42.94720078,-87.89659882,American,2,9,503
15,ORD,Chicago,United States,41.97859955,-87.90480042,Delta,0,3,286
16,PIA,Peoria,United States,40.66419983,-89.69329834,American,1,5,525
17,CVG,Cincinnati,United States,39.04880142,-84.6678009,Delta,1,7,332
18,IND,Indianapolis,United States,39.7173,-86.294403,Delta,1,5,298
19,STL,St. Louis,United States,38.74869919,-90.37000275,Delta,1,5,362
20,BNA,Nashville,United States,36.12450027,-86.67819977,American,0,3,243
21,CLT,Charlotte,United States,35.2140007,-80.94309998,Delta,1,6,206
22,LIT,Little Rock,United States,34.72940063,-92.22429657,Delta,1,6,372
23,JAN,Jackson,United States,32.31119919,-90.07589722,American,1,7,434
24,MOB,Mobile,United States,30.69120026,-88.24279785,Delta,1,6,465
25,ATL,Atlanta,United States,33.63669968,-84.42810059,Delta,0,2,207
26,CHS,Charleston,United States,32.89860153,-80.04049683,Delta,0,2,183
27,JAX,Jacksonville,United States,30.49410057,-81.68789673,Delta,0,3,197
28,MCO,Orlando,United States,28.42939949,-81.30899811,Delta,0,3,237
29,MIA,Miami,United States,25.79319954,-80.29060364,American,0,4,178
30,OMA,Omaha,United States,41.30319977,-95.89409637,Delta,1,6,396
31,ICT,Wichita,United States,37.64989853,-97.43309784,Delta,1,5,332
32,TUL,Tulsa,United States,36.19839859,-95.88809967,American,1,6,393
33,DFW,Dallas-Fort Worth,United States,32.89680099,-97.03800201,American,1,11,272
34,GRK,Killeen,United States,31.06719971,-97.8289032,Delta,1,6,486
35,HOU,Houston,United States,29.64539909,-95.27890015,JetBlue,1,30,268
36,CRP,Corpus Christi,United States,27.77039909,-97.50119781,American,2,10,555
37,LBB,Lubbock,United States,33.66360092,-101.822998,American,1,6,484
38,ABQ,Albuquerque,United States,35.04019928,-106.6090012,JetBlue,0,5,289
39,DRO,Durango,United States,37.1515007,-107.7539978,American,1,21,580
40,MTJ,Montrose CO,United States,38.50979996,-107.8939972,American,2,24,576
41,DEN,Denver,United States,39.86169815,-104.6729965,Delta,0,5,369
42,BFF,Scottsbluff,United States,41.87400055,-103.5960007,Alaska,2,30,1071
43,RAP,Rapid City,United States,44.04529953,-103.0569992,American,1,24,644
44,MOT,Minot,United States,48.25939941,-101.2799988,Delta,1,7,518
45,HVR,Havre,United States,48.54299927,-109.762001,Delta,2,14,697
46,GDV,Glendive,United States,47.13869858,-104.8069992,Delta,2,14,697
47,BIL,Billings,United States,45.80770111,-108.5429993,Delta,1,7,464
48,MSO,Missoula,United States,46.91630173,-114.0910034,Delta,1,8,512
49,BOI,Boise,United States,43.56439972,-116.2229996,Delta,2,14,595
50,JAC,Jacksn Hole,United States,43.6072998,-110.737999,Delta,1,7,692
51,CPR,Casper,United States,42.90800095,-106.4639969,Delta,2,15,623
52,COD,Cody,United States,44.52019882,-109.0240021,Delta,1,7,635
53,SLC,Salt Lake City,United States,40.78839874,-111.9779968,Delta,0,5,316
54,RNO,Reno,United States,39.49909973,-119.7679977,JetBlue,0,7,301
55,LAS,Las Vegas,United States,36.08010101,-115.1520004,JetBlue,0,6,363
56,PHX,Phoenix,United States,33.43429947,-112.012001,Delta,0,6,383
57,TUS,Tucson,United States,32.11610031,-110.9410019,American,0,6,355
58,GEG,Spokane,United States,47.61989975,-117.5339966,Alaska,1,28,578
59,SEA,Seattle,United States,47.44900131,-122.3089981,Alaska,0,6,491
60,PDX,Portland,United States,45.58869934,-122.5979996,Delta,1,28,572
61,EUG,Eugene,United States,44.12459946,-123.211998,Alaska,1,29,787
62,MFR,Medford,United States,42.37419891,-122.8730011,Alaska,1,29,733
63,ACV,Arcata CA,United States,40.97809982,-124.1090012,Alaska,2,20,944
64,SFO,San Francisco,United States,37.61899948,-122.375,JetBlue,0,7,422
65,LAX,Los Angeles,United States,33.94250107,-118.4079971,JetBlue,0,6,486
66,HNL,Honolulu,United States,21.31870079,-157.9219971,American,1,17,1008
67,EYW,Key West,United States,24.55610085,-81.75959778,American,1,7,386
68,PUJ,Punta Cana,Dominican Republic,18.56739998,-68.36340332,American,1,23,461
69,RSD,Rock Sound,Bahamas,24.89507873,-76.17688179,COPA,2,40,1104
70,PVR,Puerto Vallarta,Mexico,20.68009949,-105.2539978,American,2,10,619
71,CUN,Cancun,Mexico,21.03650093,-86.87709808,Delta,0,4,297
